구별,소계,최근증가율,인구수,한국인,외국인,고령자,외국인비율,고령자비율
강남구,2885,48.40534979423868,583446,578114,5332,57444,0.913880633340532,9.845641241863
강동구,883,191.4191419141914,481332,476597,4735,50253,0.9837284867825119,10.440402882002443
강북구,546,124.69135802469135,338410,335025,3385,50841,1.0002659495877781,15.023492213587069
강서구,722,229.68036529680367,591653,585160,6493,64287,1.097433799879321,10.865659432133363
관악구,1392,223.72093023255815,531960,513186,18774,62577,3.5292127227611094,11.763478457026844
광진구,682,45.1063829787234,377375,363354,14021,38974,3.7154024511427624,10.327658164955283
구로구,1607,88.6150234741784,457131,425831,31300,51187,6.847052595426693,11.19744668377336
금천구,387,1333.3333333333335,258030,238463,19567,29553,7.583226756578693,11.45331938146727
노원구,881,83.16008316008316,586056,582552,3504,66480,0.5978950816986772,11.343625865105041
도봉구,456,131.47208121827413,355712,353709,2003,46471,0.5630959877653832,13.064220492983086
동대문구,1326,,376319,363687,12632,50915,3.356726606947829,13.529744711268895
동작구,863,262.60504201680675,419261,407470,11791,52327,2.8123293127669875,12.480769735320003
마포구,1935,42.22222222222222,395830,385439,10391,47360,2.625116843089205,11.964732334588081
서대문구,1126,99.29203539823008,320861,310376,10485,45309,3.2677701559242163,14.121068001408709
서초구,1625,38.6518771331058,454288,449678,4610,47469,1.0147747684288382,10.449098369316381
성동구,993,49.32330827067669,303891,296086,7805,36684,2.568355101006611,12.071433507408907
성북구,1408,80.74454428754814,475961,466706,9255,62066,1.94448704830858,13.040144045415486
송파구,808,34.66666666666667,671794,664738,7056,65025,1.0503219737002711,9.67930645406181
양천구,1287,66.70984455958549,490708,486221,4487,48175,0.9143930810176316,9.817447443286028
영등포구,676,412.1212121212121,421436,382352,39084,49829,9.274006017521048,11.823622092085156
용산구,2063,35.96559812353401,249914,235951,13963,34896,5.587121969957665,13.963203341949631
은평구,1890,38.46153846153847,503243,498644,4599,67002,0.9138726221725886,13.314045103458966
종로구,746,9225.0,165344,156993,8351,24537,5.050682214050706,14.83997000193536
중구,384,1436.0,136227,128065,8162,19960,5.991470119726633,14.652014652014653
중랑구,770,,423411,418836,4575,51995,1.080510426039947,12.280030514086786
