,구분,살인발생,살인검거,강도발생,강도검거,강간발생,강간검거,절도발생,절도검거,폭력발생,폭력검거,구별
0,중부,3,2,8,8,143,105,1364,408,1414,1229,중구
1,종로,3,2,6,3,122,90,975,371,1283,1114,종로구
2,남대문,3,3,5,5,78,56,1212,479,1001,893,중구
3,서대문,3,3,4,7,185,150,1883,665,2119,1763,서대문구
4,혜화,0,0,6,5,104,61,1297,695,1225,1087,종로구
5,용산,1,2,7,7,213,169,1560,522,2018,1640,용산구
6,성북,6,3,7,5,93,77,1141,362,1215,1033,성북구
7,동대문,12,11,13,8,141,112,1809,676,2388,2075,동대문구
8,마포,4,4,22,9,265,218,2763,742,2686,2163,마포구
9,영등포,14,15,10,5,250,183,3080,892,3649,2977,영등포구
10,성동,1,1,5,6,141,103,1753,529,1682,1409,성동구
11,동작,2,2,9,7,203,120,1787,603,1868,1580,동작구
12,광진,8,9,16,22,249,199,3167,1001,2828,2300,광진구
13,서부,0,0,13,11,74,57,1010,365,1303,1065,은평구
14,강북,6,5,21,10,189,152,1494,575,2320,2064,강북구
15,금천,7,7,9,6,162,133,1552,496,2112,1792,금천구
16,중랑,11,10,14,11,163,118,2390,823,2775,2297,중랑구
17,강남,8,4,19,17,373,288,2340,786,2685,2234,강남구
18,관악,7,8,25,22,361,238,3029,784,3359,2649,관악구
19,강서,8,6,9,9,214,179,2341,734,2717,2297,강서구
20,강동,5,4,10,8,148,129,2425,827,2804,2317,강동구
21,종암,2,2,9,15,72,51,989,573,1072,907,성북구
22,구로,3,3,14,10,252,186,2377,579,2743,2207,구로구
23,서초,4,6,12,10,224,145,2018,587,1820,1561,서초구
24,양천,5,5,11,10,129,96,2058,630,2439,1913,양천구
25,송파,9,8,9,10,255,195,4199,885,3532,2884,송파구
26,노원,5,4,8,7,173,136,2404,803,2722,2350,노원구
27,방배,2,3,2,2,61,39,729,195,686,574,서초구
28,은평,5,3,11,10,114,101,1342,433,1559,1280,은평구
29,도봉,6,7,11,15,172,159,1350,478,1585,1327,도봉구
30,수서,5,5,18,12,139,115,1555,407,1709,1394,강남구
